Rk;Player;Pos;Age;Tm;G;MP;PER;TS%;3PAr;FTr;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Column1;OWS;DWS;WS;WS/48;2;OBPM;DBPM;BPM;VORP
1;Steven Adams;C;26;OKC;63;1680;205;.604;.006;.421;140;240;192;132;15;34;142;173;;38;27;65;.185;;19;11;29;21
2;Bam Adebayo;PF;22;MIA;72;2417;203;.598;.018;.484;85;249;170;242;17;38;176;212;;46;39;85;.168;;14;20;34;33
3;LaMarcus Aldridge;C;34;SAS;53;1754;197;.571;.198;.241;63;178;120;114;10;44;78;234;;30;14;45;.122;;18;-5;14;15
4;Kyle Alexander;C;23;MIA;2;13;47;.500;.000;.000;179;83;129;0;0;0;333;102;;0;0;0;-0.003;;-61;-35;-96;0
5;Nickeil Alexander-Walker;SG;21;NOP;47;591;89;.473;.500;.139;16;135;75;211;13;11;161;233;;-7;4;-2;-0.020;;-32;-14;-46;-4
6;Grayson Allen;SG;24;MEM;38;718;120;.609;.562;.179;12;111;62;100;7;2;109;176;;8;4;12;.082;;-1;-12;-13;1
7;Jarrett Allen;C;21;BRK;70;1852;207;.664;.013;.581;123;249;187;89;10;42;117;149;;52;29;82;.212;;14;10;23;20
8;Kadeem Allen;PG;27;NYK;10;117;140;.512;.364;.250;18;66;41;270;21;16;141;206;;1;1;1;.053;;-1;-6;-7;0
9;Al-Farouq Aminu;PF;29;ORL;18;380;76;.395;.419;.337;66;184;123;74;23;19;147;132;;-4;5;1;.014;;-44;14;-30;-1
10;Justin Anderson;SG;26;BRK;10;107;32;.352;.763;.105;10;189;102;101;0;47;91;171;;-2;1;-1;-0.054;;-68;-9;-77;-2
11;Kyle Anderson;SF;26;MEM;67;1330;125;.534;.257;.236;47;176;113;159;19;24;153;135;;9;17;25;.091;;-15;20;5;9
12;Ryan Anderson;C;31;HOU;2;14;94;.357;.714;.000;0;529;262;204;33;0;125;237;;0;0;0;-0.037;;-33;5;-28;0
13;Giannis Antetokounmpo;PF;25;MIL;63;1917;319;.613;.237;.508;77;348;221;342;15;30;132;375;;61;50;111;.279;;74;41;115;66
14;Kostas Antetokounmpo;PF;22;LAL;5;20;163;.902;.000;.667;111;54;82;137;0;0;205;103;;1;0;1;.193;;2;-9;-7;0
15;Thanasis Antetokounmpo;SF;27;MIL;20;129;122;.496;.208;.354;98;87;92;163;25;14;178;216;;-1;2;2;.070;;-46;14;-32;0
16;Carmelo Anthony;PF;35;POR;58;1902;124;.525;.289;.206;40;161;101;64;12;12;105;212;;4;9;13;.033;;-18;-18;-36;-8
17;OG Anunoby;SF;22;TOR;69;2066;132;.600;.403;.180;42;142;93;75;22;21;115;143;;21;37;57;.134;;-8;19;12;17
18;Ryan Arcidiacono;PG;25;CHI;58;930;90;.551;.627;.173;23;112;65;143;14;3;135;125;;7;7;14;.071;;-27;-1;-28;-2
19;Trevor Ariza;SF;34;TOT;53;1493;110;.593;.639;.228;25;157;90;80;22;9;136;118;;13;12;25;.081;;-14;9;-5;5
19;Trevor Ariza;SF;34;SAC;32;791;94;.543;.739;.164;29;182;104;83;21;8;137;112;;3;8;11;.066;;-19;13;-7;3
19;Trevor Ariza;SF;34;POR;21;702;128;.643;.535;.296;20;128;74;76;23;10;135;125;;10;4;14;.098;;-9;4;-4;3
