Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
1;Steven Adams;C;26;OKC;63;63;1680;61;102;.592;0;1;.333;60;102;.594;25;43;.582;44;81;125;31;11;14;20;26;147
2;Bam Adebayo;PF;22;MIA;72;72;2417;66;118;.557;0;2;.143;65;116;.564;39;57;.691;26;83;109;55;12;14;30;27;171
3;LaMarcus Aldridge;C;34;SAS;53;53;1754;80;163;.493;13;32;.389;68;131;.519;32;39;.827;21;59;80;26;7;18;15;26;205
4;Kyle Alexander;C;23;MIA;2;0;13;28;55;.500;0;0;;28;55;.500;0;0;;55;28;83;0;0;0;28;28;55
5;Nickeil Alexander-Walker;SG;21;NOP;47;1;591;60;162;.368;28;81;.346;32;81;.391;15;23;.676;5;46;51;54;10;5;33;35;163
6;Grayson Allen;SG;24;MEM;38;0;718;59;126;.466;29;71;.404;30;55;.545;20;23;.867;4;39;43;26;5;1;17;27;165
7;Jarrett Allen;C;21;BRK;70;64;1852;59;90;.649;0;1;.000;59;89;.658;33;52;.633;42;88;130;21;8;18;15;31;151
8;Kadeem Allen;PG;27;NYK;10;0;117;58;135;.432;15;49;.313;43;86;.500;22;34;.636;6;22;28;65;15;6;25;22;154
9;Al-Farouq Aminu;PF;29;ORL;18;2;380;24;81;.291;9;34;.250;15;47;.320;18;27;.655;23;60;82;20;17;8;16;26;74
10;Justin Anderson;SG;26;BRK;10;1;107;34;128;.263;20;98;.207;13;30;.444;7;13;.500;3;67;71;27;0;20;13;44;94
11;Kyle Anderson;SF;26;MEM;67;28;1330;42;90;.474;6;23;.282;36;67;.541;14;21;.667;16;61;77;44;15;10;18;30;106
12;Ryan Anderson;C;31;HOU;2;0;14;51;180;.286;26;129;.200;26;51;.500;0;0;;0;180;180;51;26;0;26;26;129
13;Giannis Antetokounmpo;PF;25;MIL;63;63;1917;129;232;.553;17;55;.304;112;177;.631;75;118;.633;26;134;161;66;11;12;43;37;349
14;Kostas Antetokounmpo;PF;22;LAL;5;0;20;54;54;1.000;0;0;;54;54;1.000;18;36;.500;36;18;54;36;0;0;18;36;126
15;Thanasis Antetokounmpo;SF;27;MIL;20;2;129;67;134;.500;0;28;.000;67;106;.632;20;47;.412;33;33;67;42;20;6;33;50;153
16;Carmelo Anthony;PF;35;POR;58;58;1902;64;148;.430;16;43;.385;47;105;.448;26;30;.845;13;56;70;16;9;5;19;32;169
17;OG Anunoby;SF;22;TOR;69;68;2066;50;99;.505;16;40;.390;34;59;.583;13;18;.706;14;49;63;19;17;8;14;29;128
18;Ryan Arcidiacono;PG;25;CHI;58;4;930;35;85;.409;21;53;.391;14;32;.439;10;15;.711;8;35;43;37;10;1;14;37;101
19;Trevor Ariza;SF;34;TOT;53;21;1493;34;78;.438;19;50;.372;16;28;.556;15;18;.838;8;51;59;22;17;4;14;27;102
19;Trevor Ariza;SF;34;SAC;32;0;791;29;75;.388;20;56;.352;10;20;.488;10;12;.778;10;57;66;23;16;3;13;29;87
19;Trevor Ariza;SF;34;POR;21;21;702;40;82;.491;17;44;.400;23;38;.595;21;24;.872;7;45;51;21;17;4;14;25;118
20;D.J. Augustin;PG;32;ORL;57;13;1420;47;117;.399;18;51;.348;29;66;.438;41;46;.890;6;25;31;66;9;0;22;18;152
21;Deandre Ayton;C;21;PHO;38;32;1236;90;165;.546;1;4;.231;89;162;.553;20;26;.753;43;84;127;21;8;17;23;34;201
22;Dwayne Bacon;SG;24;CHO;39;11;687;45;128;.348;10;35;.284;35;93;.373;18;28;.660;8;45;52;27;12;1;19;27;117
23;Marvin Bagley III;C;20;SAC;13;6;334;84;180;.467;4;24;.182;80;156;.510;27;33;.806;31;73;105;11;6;13;19;46;199
24;Lonzo Ball;PG;22;NOP;63;54;2025;49;122;.403;26;70;.375;23;52;.442;8;14;.566;13;55;68;78;16;7;34;23;132
25;Mo Bamba;C;21;ORL;62;0;878;54;117;.462;15;44;.346;39;73;.531;13;19;.674;41;83;124;17;9;35;17;48;136
26;J.J. Barea;PG;35;DAL;29;6;450;68;166;.411;26;68;.376;42;98;.434;16;18;.909;8;34;42;90;4;2;30;22;178
27;Harrison Barnes;PF;27;SAC;72;72;2482;53;115;.460;15;39;.381;38;76;.501;31;39;.801;11;40;51;23;6;2;13;13;152
28;RJ Barrett;SG;19;NYK;56;55;1704;62;154;.402;13;42;.320;48;112;.432;33;54;.614;11;48;59;30;12;4;26;26;170
29;Will Barton;SF;29;DEN;58;58;1916;62;139;.450;20;54;.375;42;85;.498;19;25;.767;14;54;69;40;11;5;17;23;164
30;Keita Bates-Diop;PF-SF;24;TOT;44;0;744;48;113;.427;16;50;.330;32;63;.504;26;36;.720;12;49;61;15;9;12;8;21;139
30;Keita Bates-Diop;PF;24;MIN;37;0;646;48;115;.422;17;52;.330;31;62;.500;26;36;.708;12;50;61;17;9;11;8;20;140
30;Keita Bates-Diop;SF;24;DEN;7;0;98;48;103;.464;11;33;.333;37;70;.526;29;37;.800;15;48;62;0;7;15;11;26;136
31;Nicolas Batum;SF;31;CHO;22;3;505;20;58;.346;10;35;.286;10;23;.438;6;7;.900;18;53;71;47;12;6;16;29;56
32;Aron Baynes;C;33;PHO;42;28;934;71;147;.480;23;65;.351;48;82;.582;22;29;.747;27;64;91;26;4;9;19;54;185
33;Kent Bazemore;SF;30;TOT;68;21;1688;43;114;.375;18;52;.344;25;62;.400;24;31;.769;6;57;63;20;16;9;19;42;127
33;Kent Bazemore;SF;30;POR;43;21;1111;37;106;.347;18;55;.327;18;50;.368;19;23;.806;4;52;56;20;15;10;19;39;110
